timestamp,co,no2,o3,so2,temp_c,humidity,wind_kph,pressure_mb
2025-08-01 00:58:17,597.55,29.415,42.0,24.975,28.0,80.0,17.3,999.0
2025-08-01 03:10:34,405.15,24.79,40.0,15.355,29.3,75.0,18.4,1001.0
2025-08-01 04:44:23,358.9,22.2,40.0,14.985,28.2,84.0,20.2,1002.0
2025-08-01 05:23:35,386.65,20.72,41.0,15.355,29.2,75.0,21.6,1002.0
2025-08-01 06:17:53,566.1,21.83,42.0,17.205,30.4,70.0,23.0,1002.0
2025-08-01 07:17:00,819.55,24.05,43.0,19.98,32.2,56.0,25.6,1002.0
2025-08-01 08:14:47,963.85,24.42,47.0,22.57,32.2,56.0,26.3,1002.0
2025-08-01 09:15:42,889.85,20.72,55.0,24.79,33.3,49.0,27.0,1002.0
2025-08-01 10:11:37,708.55,14.985,65.0,26.825,33.0,49.0,27.7,1001.0
2025-08-01 11:09:15,562.4,8.88,74.0,25.345,32.3,56.0,26.3,1001.0
2025-08-01 12:19:26,529.1,7.215,76.0,24.605,31.0,55.0,26.3,1001.0
2025-08-01 13:31:02,538.35,6.845,76.0,22.94,30.1,62.0,27.4,1001.0
2025-08-01 14:13:19,562.4,7.215,74.0,21.645,30.1,62.0,26.3,1001.0
2025-08-01 15:10:51,606.8,8.325,71.0,21.275,30.0,66.0,25.2,1001.0
2025-08-01 16:12:49,562.4,8.88,74.0,25.345,29.1,70.0,26.3,1002.0
2025-08-01 17:13:26,710.4,14.06,60.0,21.46,29.1,70.0,23.8,1002.0
2025-08-01 18:14:33,723.35,21.645,52.0,22.385,28.4,74.0,23.8,1002.0
2025-08-01 19:11:09,712.25,37.555,38.0,24.05,29.3,75.0,26.3,1003.0
2025-08-01 20:11:06,712.25,37.555,38.0,24.05,29.1,70.0,26.3,1003.0
2025-08-01 21:09:35,708.55,38.85,36.0,23.495,29.4,70.0,25.6,1002.0
2025-08-01 22:09:28,699.3,37.185,37.0,22.385,29.2,70.0,23.8,1001.0
2025-08-01 23:10:04,669.7,34.225,38.0,20.905,28.3,74.0,25.9,1001.0
2025-08-02 00:49:16,601.25,30.155,40.0,18.87,27.8,77.0,23.8,1001.0
2025-08-02 02:46:52,438.45,20.35,44.0,14.8,28.3,79.0,25.9,1002.0
2025-08-02 03:50:44,381.1,16.465,46.0,13.69,28.2,74.0,28.8,1002.0
2025-08-02 04:25:48,344.1,13.32,48.0,12.95,29.3,70.0,31.0,1002.0
2025-08-02 05:14:55,370.0,12.025,49.0,13.135,29.3,75.0,29.5,1003.0
2025-08-02 06:13:33,530.95,14.245,49.0,14.43,30.3,66.0,29.2,1003.0
2025-08-02 07:10:04,758.5,18.315,48.0,16.465,30.1,62.0,29.5,1002.0
2025-08-02 08:12:35,889.85,20.535,49.0,18.5,31.3,59.0,29.5,1002.0
2025-08-02 09:11:15,826.95,18.685,53.0,20.35,32.1,49.0,31.3,1002.0
2025-08-02 10:09:35,667.85,14.8,59.0,22.2,31.1,59.0,31.7,1001.0
2025-08-02 11:08:12,638.25,16.65,59.0,26.64,32.0,52.0,32.4,1001.0
2025-08-02 12:17:10,590.15,14.245,61.0,26.085,31.3,59.0,32.8,1000.0
2025-08-02 13:23:35,562.4,12.395,63.0,24.42,30.3,59.0,31.7,1001.0
2025-08-02 14:09:00,564.25,11.47,63.0,23.125,30.3,62.0,30.6,1001.0
2025-08-02 15:09:01,604.95,11.655,62.0,22.755,29.0,66.0,29.2,1001.0
2025-08-02 16:10:54,671.55,13.135,61.0,22.755,29.2,66.0,27.4,1002.0
2025-08-02 17:08:26,732.6,17.02,57.0,22.57,29.2,66.0,24.5,1002.0
2025-08-02 18:13:13,784.4,26.085,50.0,22.385,29.0,70.0,24.8,1003.0
2025-08-02 19:07:31,849.15,45.325,34.0,21.645,29.1,70.0,26.3,1003.0
2025-08-02 20:10:12,849.15,45.325,34.0,21.645,29.2,70.0,26.3,1003.0
2025-08-02 21:08:31,825.1,45.695,33.0,20.905,29.1,70.0,27.0,1002.0
2025-08-02 22:09:16,773.3,41.995,34.0,19.98,28.1,74.0,29.2,1002.0
2025-08-02 23:09:50,699.3,37.37,36.0,18.87,28.3,74.0,28.4,1002.0
2025-08-03 00:57:29,590.15,32.19,39.0,17.39,27.6,77.0,27.7,1001.0
2025-08-03 03:06:58,310.8,17.205,47.0,13.69,28.2,79.0,26.6,1003.0
2025-08-03 04:39:08,292.3,14.615,47.0,13.32,29.2,75.0,25.6,1003.0
2025-08-03 05:19:04,333.0,13.69,48.0,13.69,30.1,66.0,25.6,1003.0
2025-08-03 06:14:18,490.25,16.095,48.0,15.355,30.0,70.0,27.4,1004.0
2025-08-03 07:10:39,706.7,20.35,47.0,17.945,30.3,66.0,27.0,1003.0
2025-08-03 08:12:38,834.35,22.57,49.0,20.35,31.1,63.0,27.0,1003.0
2025-08-03 09:09:58,786.25,20.35,54.0,22.57,31.2,63.0,27.0,1003.0
2025-08-03 10:09:57,649.35,16.28,61.0,24.79,31.1,59.0,26.3,1002.0
2025-08-03 11:08:14,590.15,10.545,72.0,24.05,31.1,59.0,27.7,1002.0
2025-08-03 12:17:34,540.2,8.325,76.0,23.495,31.2,59.0,27.7,1002.0
2025-08-03 13:26:00,527.25,7.215,79.0,22.385,31.2,59.0,27.0,1002.0
2025-08-03 14:08:26,542.05,7.03,79.0,21.46,30.2,62.0,24.8,1002.0
2025-08-03 15:09:22,597.55,7.585,76.0,21.275,30.4,62.0,25.9,1003.0
2025-08-03 16:11:10,680.8,9.25,70.0,21.645,29.4,66.0,25.6,1003.0
2025-08-03 17:09:10,745.55,13.69,63.0,21.83,29.4,66.0,23.4,1004.0
2025-08-03 18:13:24,777.0,23.865,53.0,22.2,28.1,70.0,24.1,1004.0
2025-08-03 19:08:38,793.65,45.325,34.0,22.755,28.2,74.0,25.9,1004.0
2025-08-03 20:10:44,793.65,45.325,34.0,22.755,27.2,84.0,25.9,1004.0
2025-08-03 21:08:51,797.35,46.62,32.0,22.57,27.1,89.0,25.9,1004.0
2025-08-03 22:09:34,789.95,43.66,33.0,22.2,28.3,74.0,27.0,1004.0
2025-08-03 23:09:55,745.55,39.405,35.0,21.275,28.0,74.0,26.3,1003.0
