timestamp,aqi
2025-08-01 00:58:17,54.6875
2025-08-01 03:10:34,42.6545
2025-08-01 04:44:23,39.9905
2025-08-01 05:23:35,40.1425
2025-08-01 06:17:53,45.6225
2025-08-01 07:17:00,53.711
2025-08-01 08:14:47,59.31400000000001
2025-08-01 09:15:42,59.123999999999995
2025-08-01 10:11:37,56.0745
2025-08-01 11:09:15,51.448499999999996
2025-08-01 12:19:26,50.0135
2025-08-01 13:31:02,49.144
2025-08-01 14:13:19,48.5995
2025-08-01 15:10:51,49.0685
2025-08-01 16:12:49,51.448499999999996
2025-08-01 17:13:26,51.373999999999995
2025-08-01 18:14:33,54.246500000000005
2025-08-01 19:11:09,60.202999999999996
2025-08-01 20:11:06,60.202999999999996
2025-08-01 21:09:35,60.028499999999994
2025-08-01 22:09:28,58.5895
2025-08-01 23:10:04,55.7815
2025-08-02 00:49:16,51.553000000000004
2025-08-02 02:46:52,41.579
2025-08-02 03:50:44,38.146
2025-08-02 04:25:48,35.749
2025-08-02 05:14:55,35.8825
2025-08-02 06:13:33,41.081
2025-08-02 07:10:04,48.7915
2025-08-02 08:12:35,54.068
2025-08-02 09:11:15,53.825
2025-08-02 10:09:35,51.037
2025-08-02 11:08:12,53.775
2025-08-02 12:17:10,51.692499999999995
2025-08-02 13:23:35,49.794999999999995
2025-08-02 14:09:00,48.6295
2025-08-02 15:09:01,49.0695
2025-08-02 16:10:54,50.98949999999999
2025-08-02 17:08:26,53.248999999999995
2025-08-02 18:13:13,57.5315
2025-08-02 19:07:31,65.2005
2025-08-02 20:10:12,65.2005
2025-08-02 21:08:31,64.2715
2025-08-02 22:09:16,60.853
2025-08-02 23:09:50,56.642999999999994
2025-08-03 00:57:29,51.51199999999999
2025-08-03 03:06:58,37.483999999999995
2025-08-03 04:39:08,35.375
2025-08-03 05:19:04,36.119
2025-08-03 06:14:18,41.5395
2025-08-03 07:10:39,49.4165
2025-08-03 08:12:38,55.104
2025-08-03 09:09:58,55.42
2025-08-03 10:09:57,53.45
2025-08-03 11:08:14,51.754999999999995
2025-08-03 12:17:34,50.346500000000006
2025-08-03 13:26:00,49.7665
2025-08-03 14:08:26,49.489000000000004
2025-08-03 15:09:22,49.939499999999995
2025-08-03 16:11:10,50.988499999999995
2025-08-03 17:09:10,52.94
2025-08-03 18:13:24,56.859
2025-08-03 19:08:38,64.6455
2025-08-03 20:10:44,64.6455
2025-08-03 21:08:51,64.804
2025-08-03 22:09:34,62.995
2025-08-03 23:09:55,59.691500000000005
